datetime_beginning_ept,mkt_region,zone,mw_sum
2026-01-01 04:00:00,WEST,AEP,16606.109
2026-01-01 04:00:00,WEST,AP,6125.633
2026-01-01 04:00:00,WEST,ATSI,7275.774
2026-01-01 04:00:00,WEST,CE,10213.027
2026-01-01 04:00:00,WEST,DAY,1896.748
2026-01-01 04:00:00,WEST,DEOK,2768.498
2026-01-01 04:00:00,WEST,DUQ,1441.056
2026-01-01 04:00:00,WEST,EKPC,1916.609
2026-01-01 04:00:00,WEST,OVEC,42.0
2026-01-01 05:00:00,MIDATL,AE,1029.952
2026-01-01 05:00:00,MIDATL,BC,3577.845
2026-01-01 05:00:00,MIDATL,DPL,2281.643
2026-01-01 05:00:00,MIDATL,JC,2318.798
2026-01-01 05:00:00,MIDATL,ME,1695.228
2026-01-01 05:00:00,MIDATL,PE,4272.869
2026-01-01 05:00:00,MIDATL,PEP,3198.034
2026-01-01 05:00:00,MIDATL,PL,4892.3369999999995
2026-01-01 05:00:00,MIDATL,PN,1899.756
2026-01-01 05:00:00,MIDATL,PS,4501.814
2026-01-01 05:00:00,MIDATL,RECO,139.083
2026-01-01 05:00:00,RTO,RTO,94809.237
2026-01-01 05:00:00,SOUTH,DOM,15985.722
2026-01-01 05:00:00,WEST,AEP,16802.718
2026-01-01 05:00:00,WEST,AP,6316.674
2026-01-01 05:00:00,WEST,ATSI,7409.607
2026-01-01 05:00:00,WEST,CE,10269.499
2026-01-01 05:00:00,WEST,DAY,1922.748
2026-01-01 05:00:00,WEST,DEOK,2846.067
2026-01-01 05:00:00,WEST,DUQ,1472.134
2026-01-01 05:00:00,WEST,EKPC,1932.709
2026-01-01 05:00:00,WEST,OVEC,44.0
2026-01-01 06:00:00,MIDATL,AE,1056.433
2026-01-01 06:00:00,MIDATL,BC,3813.691
2026-01-01 06:00:00,MIDATL,DPL,2385.4249999999997
2026-01-01 06:00:00,MIDATL,JC,2408.566
2026-01-01 06:00:00,MIDATL,ME,1754.633
2026-01-01 06:00:00,MIDATL,PE,4479.437
2026-01-01 06:00:00,MIDATL,PEP,3437.511
2026-01-01 06:00:00,MIDATL,PL,5108.519
2026-01-01 06:00:00,MIDATL,PN,1963.869
2026-01-01 06:00:00,MIDATL,PS,4643.569
2026-01-01 06:00:00,MIDATL,RECO,143.915
2026-01-01 06:00:00,RTO,RTO,97601.198
2026-01-01 06:00:00,SOUTH,DOM,16419.833
2026-01-01 06:00:00,WEST,AEP,17134.587
2026-01-01 06:00:00,WEST,AP,6514.086
2026-01-01 06:00:00,WEST,ATSI,7566.4839999999995
2026-01-01 06:00:00,WEST,CE,10392.573
2026-01-01 06:00:00,WEST,DAY,1963.748
2026-01-01 06:00:00,WEST,DEOK,2927.175
2026-01-01 06:00:00,WEST,DUQ,1502.621
2026-01-01 06:00:00,WEST,EKPC,1945.523
2026-01-01 06:00:00,WEST,OVEC,39.0
2026-01-01 07:00:00,MIDATL,AE,1099.623
2026-01-01 07:00:00,MIDATL,BC,3936.599
2026-01-01 07:00:00,MIDATL,DPL,2497.257
2026-01-01 07:00:00,MIDATL,JC,2492.454
2026-01-01 07:00:00,MIDATL,ME,1826.131
2026-01-01 07:00:00,MIDATL,PE,4694.261
2026-01-01 07:00:00,MIDATL,PEP,3534.059
2026-01-01 07:00:00,MIDATL,PL,5299.071
2026-01-01 07:00:00,MIDATL,PN,2015.963
2026-01-01 07:00:00,MIDATL,PS,4721.983
2026-01-01 07:00:00,MIDATL,RECO,146.469
2026-01-01 07:00:00,RTO,RTO,100134.692
2026-01-01 07:00:00,SOUTH,DOM,16798.595
2026-01-01 07:00:00,WEST,AEP,17489.614999999998
2026-01-01 07:00:00,WEST,AP,6747.06
2026-01-01 07:00:00,WEST,ATSI,7682.4839999999995
2026-01-01 07:00:00,WEST,CE,10592.432
2026-01-01 07:00:00,WEST,DAY,2028.021
2026-01-01 07:00:00,WEST,DEOK,2988.549
2026-01-01 07:00:00,WEST,DUQ,1528.387
2026-01-01 07:00:00,WEST,EKPC,1977.679
2026-01-01 07:00:00,WEST,OVEC,38.0
2026-01-01 08:00:00,MIDATL,AE,1130.933
2026-01-01 08:00:00,MIDATL,BC,3940.593
2026-01-01 08:00:00,MIDATL,DPL,2591.335
2026-01-01 08:00:00,MIDATL,JC,2540.669
2026-01-01 08:00:00,MIDATL,ME,1862.503
2026-01-01 08:00:00,MIDATL,PE,4788.694
2026-01-01 08:00:00,MIDATL,PEP,3594.5209999999997
2026-01-01 08:00:00,MIDATL,PL,5407.858
2026-01-01 08:00:00,MIDATL,PN,2057.757
2026-01-01 08:00:00,MIDATL,PS,4702.252
2026-01-01 08:00:00,MIDATL,RECO,148.341
2026-01-01 08:00:00,RTO,RTO,101053.795
2026-01-01 08:00:00,SOUTH,DOM,16953.821
2026-01-01 08:00:00,WEST,AEP,17600.688000000002
2026-01-01 08:00:00,WEST,AP,6858.985
2026-01-01 08:00:00,WEST,ATSI,7592.851000000001
2026-01-01 08:00:00,WEST,CE,10614.887
2026-01-01 08:00:00,WEST,DAY,2068.218
2026-01-01 08:00:00,WEST,DEOK,3005.265
2026-01-01 08:00:00,WEST,DUQ,1535.47
2026-01-01 08:00:00,WEST,EKPC,2019.154
2026-01-01 08:00:00,WEST,OVEC,39.0
2026-01-01 09:00:00,MIDATL,AE,1070.711
2026-01-01 09:00:00,MIDATL,BC,3825.2
2026-01-01 09:00:00,MIDATL,DPL,2561.836
2026-01-01 09:00:00,MIDATL,JC,2494.598
2026-01-01 09:00:00,MIDATL,ME,1868.28
2026-01-01 09:00:00,MIDATL,PE,4800.738
2026-01-01 09:00:00,MIDATL,PEP,3480.2419999999997
2026-01-01 09:00:00,MIDATL,PL,5441.387000000001
2026-01-01 09:00:00,MIDATL,PN,2099.553
2026-01-01 09:00:00,MIDATL,PS,4626.654
2026-01-01 09:00:00,MIDATL,RECO,150.712
2026-01-01 09:00:00,RTO,RTO,100780.109
2026-01-01 09:00:00,SOUTH,DOM,16708.862
2026-01-01 09:00:00,WEST,AEP,17716.318
2026-01-01 09:00:00,WEST,AP,6821.972
2026-01-01 09:00:00,WEST,ATSI,7726.948
2026-01-01 09:00:00,WEST,CE,10624.486
2026-01-01 09:00:00,WEST,DAY,2089.533
2026-01-01 09:00:00,WEST,DEOK,3063.473
2026-01-01 09:00:00,WEST,DUQ,1551.731
2026-01-01 09:00:00,WEST,EKPC,2016.875
2026-01-01 09:00:00,WEST,OVEC,40.0
2026-01-01 10:00:00,MIDATL,AE,945.846
2026-01-01 10:00:00,MIDATL,BC,3728.167
2026-01-01 10:00:00,MIDATL,DPL,2465.54
2026-01-01 10:00:00,MIDATL,JC,2405.371
2026-01-01 10:00:00,MIDATL,ME,1882.345
2026-01-01 10:00:00,MIDATL,PE,4836.515
2026-01-01 10:00:00,MIDATL,PEP,3419.299
2026-01-01 10:00:00,MIDATL,PL,5483.038
2026-01-01 10:00:00,MIDATL,PN,2138.984
2026-01-01 10:00:00,MIDATL,PS,4490.725
2026-01-01 10:00:00,MIDATL,RECO,151.97
2026-01-01 10:00:00,RTO,RTO,100700.238
2026-01-01 10:00:00,SOUTH,DOM,16532.019
2026-01-01 10:00:00,WEST,AEP,17822.773
2026-01-01 10:00:00,WEST,AP,6779.68
2026-01-01 10:00:00,WEST,ATSI,7888.042
2026-01-01 10:00:00,WEST,CE,10810.072
2026-01-01 10:00:00,WEST,DAY,2137.035
2026-01-01 10:00:00,WEST,DEOK,3095.521
2026-01-01 10:00:00,WEST,DUQ,1567.539
2026-01-01 10:00:00,WEST,EKPC,2081.757
2026-01-01 10:00:00,WEST,OVEC,38.0
2026-01-01 11:00:00,MIDATL,AE,864.5780000000001
2026-01-01 11:00:00,MIDATL,BC,3679.758
2026-01-01 11:00:00,MIDATL,DPL,2384.321
2026-01-01 11:00:00,MIDATL,JC,2317.112
2026-01-01 11:00:00,MIDATL,ME,1891.712
2026-01-01 11:00:00,MIDATL,PE,4943.523
2026-01-01 11:00:00,MIDATL,PEP,3385.05
2026-01-01 11:00:00,MIDATL,PL,5490.93
2026-01-01 11:00:00,MIDATL,PN,2169.913
2026-01-01 11:00:00,MIDATL,PS,4338.09
2026-01-01 11:00:00,MIDATL,RECO,150.717
2026-01-01 11:00:00,RTO,RTO,100266.86
2026-01-01 11:00:00,SOUTH,DOM,16346.99
2026-01-01 11:00:00,WEST,AEP,17732.153
2026-01-01 11:00:00,WEST,AP,6726.138
2026-01-01 11:00:00,WEST,ATSI,8061.466
2026-01-01 11:00:00,WEST,CE,10951.619
2026-01-01 11:00:00,WEST,DAY,2162.845
2026-01-01 11:00:00,WEST,DEOK,3154.389
2026-01-01 11:00:00,WEST,DUQ,1587.011
2026-01-01 11:00:00,WEST,EKPC,1890.545
2026-01-01 11:00:00,WEST,OVEC,38.0
2026-01-01 12:00:00,MIDATL,AE,861.547
2026-01-01 12:00:00,MIDATL,BC,3650.52
2026-01-01 12:00:00,MIDATL,DPL,2347.448
2026-01-01 12:00:00,MIDATL,JC,2317.502
2026-01-01 12:00:00,MIDATL,ME,1875.063
2026-01-01 12:00:00,MIDATL,PE,4961.194
2026-01-01 12:00:00,MIDATL,PEP,3337.219
2026-01-01 12:00:00,MIDATL,PL,5463.7300000000005
2026-01-01 12:00:00,MIDATL,PN,2171.854
2026-01-01 12:00:00,MIDATL,PS,4339.03
2026-01-01 12:00:00,MIDATL,RECO,151.391
2026-01-01 12:00:00,RTO,RTO,99874.151
2026-01-01 12:00:00,SOUTH,DOM,16064.011
2026-01-01 12:00:00,WEST,AEP,17723.952
2026-01-01 12:00:00,WEST,AP,6698.14
2026-01-01 12:00:00,WEST,ATSI,8052.098
2026-01-01 12:00:00,WEST,CE,11032.25
2026-01-01 12:00:00,WEST,DAY,2163.328
2026-01-01 12:00:00,WEST,DEOK,3121.564
2026-01-01 12:00:00,WEST,DUQ,1610.203
2026-01-01 12:00:00,WEST,EKPC,1897.107
2026-01-01 12:00:00,WEST,OVEC,35.0
2026-01-01 13:00:00,MIDATL,AE,901.2280000000001
2026-01-01 13:00:00,MIDATL,BC,3692.216
2026-01-01 13:00:00,MIDATL,DPL,2335.356
2026-01-01 13:00:00,MIDATL,JC,2377.881
2026-01-01 13:00:00,MIDATL,ME,1861.483
2026-01-01 13:00:00,MIDATL,PE,4941.148
2026-01-01 13:00:00,MIDATL,PEP,3478.685
2026-01-01 13:00:00,MIDATL,PL,5432.896000000001
2026-01-01 13:00:00,MIDATL,PN,2155.824
2026-01-01 13:00:00,MIDATL,PS,4484.139
2026-01-01 13:00:00,MIDATL,RECO,153.033
2026-01-01 13:00:00,RTO,RTO,99675.108
2026-01-01 13:00:00,SOUTH,DOM,15833.752
2026-01-01 13:00:00,WEST,AEP,17546.913999999997
2026-01-01 13:00:00,WEST,AP,6710.65
2026-01-01 13:00:00,WEST,ATSI,7971.472
2026-01-01 13:00:00,WEST,CE,11046.611
2026-01-01 13:00:00,WEST,DAY,2148.754
2026-01-01 13:00:00,WEST,DEOK,3106.908
2026-01-01 13:00:00,WEST,DUQ,1606.31
2026-01-01 13:00:00,WEST,EKPC,1852.848
2026-01-01 13:00:00,WEST,OVEC,37.0
2026-01-01 14:00:00,MIDATL,AE,982.6610000000001
2026-01-01 14:00:00,MIDATL,BC,3862.995
2026-01-01 14:00:00,MIDATL,DPL,2414.852
2026-01-01 14:00:00,MIDATL,JC,2503.22
2026-01-01 14:00:00,MIDATL,ME,1881.337
2026-01-01 14:00:00,MIDATL,PE,5023.469
2026-01-01 14:00:00,MIDATL,PEP,3524.835
2026-01-01 14:00:00,MIDATL,PL,5413.687
2026-01-01 14:00:00,MIDATL,PN,2141.914
2026-01-01 14:00:00,MIDATL,PS,4738.906
2026-01-01 14:00:00,MIDATL,RECO,156.121
2026-01-01 14:00:00,RTO,RTO,100293.981
2026-01-01 14:00:00,SOUTH,DOM,15855.684
2026-01-01 14:00:00,WEST,AEP,17394.197999999997
2026-01-01 14:00:00,WEST,AP,6740.655
2026-01-01 14:00:00,WEST,ATSI,7938.369
2026-01-01 14:00:00,WEST,CE,11006.399
2026-01-01 14:00:00,WEST,DAY,2132.805
2026-01-01 14:00:00,WEST,DEOK,3114.502
2026-01-01 14:00:00,WEST,DUQ,1604.88
2026-01-01 14:00:00,WEST,EKPC,1818.492
2026-01-01 14:00:00,WEST,OVEC,44.0
2026-01-01 15:00:00,MIDATL,AE,1165.645
2026-01-01 15:00:00,MIDATL,BC,4104.616
2026-01-01 15:00:00,MIDATL,DPL,2602.642
2026-01-01 15:00:00,MIDATL,JC,2708.708
2026-01-01 15:00:00,MIDATL,ME,1925.73
2026-01-01 15:00:00,MIDATL,PE,5097.826
2026-01-01 15:00:00,MIDATL,PEP,3714.036
2026-01-01 15:00:00,MIDATL,PL,5544.896
2026-01-01 15:00:00,MIDATL,PN,2158.007
2026-01-01 15:00:00,MIDATL,PS,5032.996
2026-01-01 15:00:00,MIDATL,RECO,160.77
2026-01-01 15:00:00,RTO,RTO,102549.11
2026-01-01 15:00:00,SOUTH,DOM,16302.021
2026-01-01 15:00:00,WEST,AEP,17489.415
2026-01-01 15:00:00,WEST,AP,6830.91
2026-01-01 15:00:00,WEST,ATSI,7999.149
2026-01-01 15:00:00,WEST,CE,10995.732
2026-01-01 15:00:00,WEST,DAY,2128.569
2026-01-01 15:00:00,WEST,DEOK,3115.184
2026-01-01 15:00:00,WEST,DUQ,1610.052
2026-01-01 15:00:00,WEST,EKPC,1821.206
2026-01-01 15:00:00,WEST,OVEC,41.0
2026-01-01 16:00:00,MIDATL,AE,1317.896
2026-01-01 16:00:00,MIDATL,BC,4366.485
2026-01-01 16:00:00,MIDATL,DPL,2826.054
2026-01-01 16:00:00,MIDATL,JC,2968.168
2026-01-01 16:00:00,MIDATL,ME,2037.395
2026-01-01 16:00:00,MIDATL,PE,5341.897
2026-01-01 16:00:00,MIDATL,PEP,3905.612
2026-01-01 16:00:00,MIDATL,PL,5822.527
2026-01-01 16:00:00,MIDATL,PN,2218.773
2026-01-01 16:00:00,MIDATL,PS,5427.781
2026-01-01 16:00:00,MIDATL,RECO,171.399
2026-01-01 16:00:00,RTO,RTO,106560.193
2026-01-01 16:00:00,SOUTH,DOM,17152.737
2026-01-01 16:00:00,WEST,AEP,17831.541
2026-01-01 16:00:00,WEST,AP,7072.479
2026-01-01 16:00:00,WEST,ATSI,8094.3099999999995
2026-01-01 16:00:00,WEST,CE,11165.748
